invoice_number,invoice_date,order_date,order_type,order_quantity,shipped_quantity,sales_amount,unit_price,customer_id,customer_location,customer_department,customer_province,item_id,item_description,item_department,item_section,item_group,warehouse_number,warehouse_name,warehouse_region_name,vendor_number,vendor_name,supplier_id,supplier_name
1879833,2020-04-19,2020-04-18,REGULAR,1,0,0.0,0.0,2144,31,62,CALIFORNIA,793471,SCTCHBRT SCOUR PD HVY DTY          ,30,41,700,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5675817,2018-01-10,2018-01-09,REGULAR,1,0,0.0,0.0,2620,18,62,ARIZONA,117341,TRAD MEDI ROAST DANDELION ROOT     ,30,17,165,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
1661566,2018-12-09,2018-12-08,REGULAR,1,0,0.0,0.0,1819,1,60,TEXAS,246918,NONG SHIM SPICY SHIN CUP           ,30,4,45,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
3776955,2019-04-09,2019-04-07,REGULAR,1,0,0.0,0.0,2438,11,62,TEXAS,153452,LARABAR CASHEW                     ,30,44,175,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5466080,2020-09-02,2020-08-30,REGULAR,12,0,0.0,0.0,1954,1,70,MICHIGAN,3904034,13008 WILD BIRDSEED BACKYARD BASIC ,40,24,150,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3528676,2018-03-24,2018-03-23,REGULAR,1,0,0.0,0.0,1891,2,30,TEXAS,271049,CARE+ ORGANIC  OREGNO OIL 36% CARVA,30,79,3,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
1924121,2020-07-23,2020-07-20,REGULAR,1,0,0.0,0.0,2144,25,67,CALIFORNIA,643627,SENSIBLE PORTIONS VEGGIE  CHIPS    ,30,4,840,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
3242083,2020-06-17,2020-06-15,REGULAR,1,0,0.0,0.0,1709,1,62,TEXAS,2405868,C.G. BLACK OLIVE & FETA   PITA CRAK,30,44,10,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5762622,2018-06-06,2018-06-05,REGULAR,1,0,0.0,0.0,1496,9,62,ARIZONA,405746,NAT PATH SUNRISE ECO PACK          ,30,11,485,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
1554249,2018-05-11,2018-05-07,REGULAR,6,0,0.0,0.0,7331,891,26,GEORGIA,500926,POLYSPORIN KIDS                    ,30,76,496,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5157631,2019-06-28,2019-06-24,REGULAR,1,0,0.0,0.0,652,1,60,MICHIGAN,833749,ELASTOPLST FAM PK PLASTIC 80'S     ,30,76,47,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5441454,2020-07-30,2020-07-30,REGULAR,1,0,0.0,0.0,2142,70,62,ARIZONA,6266472,DOVE BAR       WHITE      6X106G   ,30,72,722,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5313597,2020-02-21,2020-02-19,REGULAR,3,0,0.0,0.0,1691,12,30,ARIZONA,2461382,JAM PRENATAL   COMPL CHEW          ,30,79,38,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3174337,2020-03-20,2020-03-19,REGULAR,4,0,0.0,0.0,2438,15,32,TEXAS,248245,LAX-A-DAY         510G             ,30,70,522,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3273603,2020-07-31,2020-07-29,REGULAR,1,0,0.0,0.0,10315,1,0,TEXAS,4265963,MOUSE GLUE TRAP  4 PACK            ,40,2,160,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832971,THE GROCERY GROUP
5341449,2020-03-26,2020-03-25,REGULAR,1,0,0.0,0.0,2645,10,62,ARIZONA,2456879,MUNCHKIN MRCLE  SIPPY CUP 10 OZ    ,30,71,420,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3552740,2018-04-30,2018-04-28,REGULAR,1,0,0.0,0.0,2438,33,62,TEXAS,752212,LOVE CHILD F/T APPLE 6+MO          ,30,21,400,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5454714,2020-08-18,2020-08-16,REGULAR,1,0,0.0,0.0,1691,1,30,ARIZONA,370056,VISINE REGULAR EYE DROPS           ,30,79,305,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3264137,2020-07-17,2020-07-15,REGULAR,3,0,0.0,0.0,2438,42,62,TEXAS,544221,LANACANE CREME MEDICATED           ,30,76,550,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
1778645,2019-09-01,2019-08-31,REGULAR,1,0,0.0,0.0,2059,6,62,CALIFORNIA,981100,ANNIES GLUTEN FREE PASTA           ,30,14,123,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5379183,2020-05-12,2020-05-11,REGULAR,1,0,0.0,0.0,2620,21,62,ARIZONA,176461,PATAKS BUTTER CHICKEN              ,30,4,315,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3206906,2020-04-30,2020-04-29,REGULAR,4,0,0.0,0.0,2020,4,30,TEXAS,806554,++TYNOL CHILD  COGH CLD   -R       ,30,69,610,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3662844,2018-10-12,2018-10-10,REGULAR,1,0,0.0,0.0,104,1,62,TEXAS,730705,ZEST OCEAN ENG BAR SOAP   6X90G    ,30,40,801,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5191868,2019-08-17,2019-08-15,REGULAR,1,0,0.0,0.0,3912,1,60,MICHIGAN,2495356,CANMAR WHOLE FLAX                  ,30,12,25,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
1635228,2018-10-20,2018-10-19,REGULAR,1,0,0.0,0.0,10309,1,0,CALIFORNIA,4764742,20407TL-6 CK-N-CRY POT PIE W/LD 6CT,40,7,500,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832971,THE GROCERY GROUP
3662035,2018-10-11,2018-10-09,REGULAR,3,0,0.0,0.0,2438,11,30,TEXAS,521666,CETPHL RSTRDRM MST LOTION          ,30,72,314,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
1932245,2020-08-13,2020-08-07,REGULAR,1,0,0.0,0.0,1775,45,20,CALIFORNIA,4452488,HEX NUT ZINC #1/4-20 10 PACK       ,40,4,200,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
3308707,2020-09-16,2020-09-14,REGULAR,2,0,0.0,0.0,2486,25,20,TEXAS,5041058,GARAGE MAT 7.6-FT X 21-FT          ,40,10,120,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5470788,2020-09-10,2020-09-04,REGULAR,2,0,0.0,0.0,2871,5,80,ARIZONA,941765,PLASTIC CABLE STAPLE 1/2-IN 15 PACK,40,11,430,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3150080,2020-02-13,2020-02-12,REGULAR,1,0,0.0,0.0,883,1,60,TEXAS,172254,GLYSOMED BODY  LOTION              ,30,72,499,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3918745,2019-11-10,2019-11-09,REGULAR,2,0,0.0,0.0,1811,1,62,TEXAS,531285,GIA WHITE BASMATI RICE             ,30,13,15,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3740948,2019-02-08,2019-02-07,REGULAR,1,0,0.0,0.0,2230,1,30,TEXAS,980664,ENSURE BUTTER  PCN 6X235           ,30,79,213,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
